RESULT:                   OPTIMUM ROUTE:   

x(0,5) = 1.0              0->5->3->7->8->10->11->9->6->4->2->1->75->0
x(0,13) = 1.0             0->13->17->18->19->15->16->14->12->0  
x(0,20) = 1.0             0->20->24->25->27->29->30->28->26->23->22->21->0
x(0,32) = 1.0             0->32->33->31->35->37->38->39->36->34->0
x(0,43) = 1.0             0->43->42->41->40->44->46->45->48->51->50->52->49->47->0
x(0,57) = 1.0             0->57->55->54->53->56->58->60->59->0
x(0,67) = 1.0             0->67->65->63->62->74->72->61->64->68->66->69->0
x(0,81) = 1.0             0->81->78->76->71->70->73->77->79->80->0
x(0,90) = 1.0             0->90->87->86->83->82->84->85->88->89->91->0
x(0,98) = 1.0             0->98->96->95->94->92->93->97->100->99->0
x(1,75) = 1.0
x(2,1) = 1.0
x(3,7) = 1.0
x(4,2) = 1.0
x(5,3) = 1.0
x(6,4) = 1.0
x(7,8) = 1.0
x(8,10) = 1.0
x(9,6) = 1.0
x(10,11) = 1.0
x(11,9) = 1.0
x(12,0) = 1.0
x(13,17) = 1.0
x(14,12) = 1.0
x(15,16) = 1.0
x(16,14) = 1.0
x(17,18) = 1.0
x(18,19) = 1.0
x(19,15) = 1.0
x(20,24) = 1.0
x(21,0) = 1.0
x(22,21) = 1.0
x(23,22) = 1.0
x(24,25) = 1.0
x(25,27) = 1.0
x(26,23) = 1.0
x(27,29) = 1.0
x(28,26) = 1.0
x(29,30) = 1.0
x(30,28) = 1.0
x(31,35) = 1.0
x(32,33) = 1.0
x(33,31) = 1.0
x(34,0) = 1.0
x(35,37) = 1.0
x(36,34) = 1.0
x(37,38) = 1.0
x(38,39) = 1.0
x(39,36) = 1.0
x(40,44) = 1.0
x(41,40) = 1.0
x(42,41) = 1.0
x(43,42) = 1.0
x(44,46) = 1.0
x(45,48) = 1.0
x(46,45) = 1.0
x(47,0) = 1.0
x(48,51) = 1.0
x(49,47) = 1.0
x(50,52) = 1.0
x(51,50) = 1.0
x(52,49) = 1.0
x(53,56) = 1.0
x(54,53) = 1.0
x(55,54) = 1.0
x(56,58) = 1.0
x(57,55) = 1.0
x(58,60) = 1.0
x(59,0) = 1.0
x(60,59) = 1.0
x(61,64) = 1.0
x(62,74) = 1.0
x(63,62) = 1.0
x(64,68) = 1.0
x(65,63) = 1.0
x(66,69) = 1.0
x(67,65) = 1.0
x(68,66) = 1.0
x(69,0) = 1.0
x(70,73) = 1.0
x(71,70) = 1.0
x(72,61) = 1.0
x(73,77) = 1.0
x(74,72) = 1.0
x(75,0) = 1.0
x(76,71) = 1.0
x(77,79) = 1.0
x(78,76) = 1.0
x(79,80) = 1.0
x(80,0) = 1.0
x(81,78) = 1.0
x(82,84) = 1.0
x(83,82) = 1.0
x(84,85) = 1.0
x(85,88) = 1.0
x(86,83) = 1.0
x(87,86) = 1.0
x(88,89) = 1.0
x(89,91) = 1.0
x(90,87) = 1.0
x(91,0) = 1.0
x(92,93) = 1.0
x(93,97) = 1.0
x(94,92) = 1.0
x(95,94) = 1.0
x(96,95) = 1.0
x(97,100) = 1.0
x(98,96) = 1.0
x(99,0) = 1.0
x(100,99) = 1.0
u(1) = 180.0
u(2) = 170.0
u(3) = 20.0
u(4) = 140.0
u(5) = 10.0
u(6) = 130.0
u(7) = 40.0
u(8) = 60.0
u(9) = 110.0
u(10) = 70.0
u(11) = 80.0
u(12) = 200.0
u(13) = 30.0
u(14) = 180.0
u(15) = 130.0
u(16) = 170.0
u(17) = 50.0
u(18) = 70.0
u(19) = 80.0
u(20) = 10.0
u(21) = 200.0
u(22) = 180.0
u(23) = 160.0
u(24) = 20.0
u(25) = 60.0
u(26) = 150.0
u(27) = 70.0
u(28) = 140.0
u(29) = 80.0
u(30) = 120.0
u(31) = 90.0
u(32) = 30.0
u(33) = 70.0
u(34) = 200.0
u(35) = 100.0
u(36) = 180.0
u(37) = 120.0
u(38) = 150.0
u(39) = 170.0
u(40) = 50.0
u(41) = 40.0
u(42) = 30.0
u(43) = 10.0
u(44) = 60.0
u(45) = 140.0
u(46) = 90.0
u(47) = 200.0
u(48) = 150.0
u(49) = 190.0
u(50) = 170.0
u(51) = 160.0
u(52) = 180.0
u(53) = 110.0
u(54) = 90.0
u(55) = 50.0
u(56) = 140.0
u(57) = 40.0
u(58) = 170.0
u(59) = 200.0
u(60) = 190.0
u(61) = 160.0
u(62) = 90.0
u(63) = 70.0
u(64) = 170.0
u(65) = 20.0
u(66) = 190.0
u(67) = 10.0
u(68) = 180.0
u(69) = 200.0
u(70) = 160.0
u(71) = 80.0
